Text,Problem,Question,Numbers,Equation,Answer,Constants
一箱蜜蜂一个月大约产6千克蜂蜜，蛋糕房现需要126千克蜂蜜，大约需要多少箱蜜蜂？,一箱蜜蜂一个月大约产 [NUM] 千克蜂蜜，蛋糕房现需要 [NUM] 千克蜂蜜，大约需要多少箱蜜蜂？,大约需要多少箱蜜蜂？,6 126,n1 / n0,21.0,
学校买10个篮球和8个小足球，共付出300元．每个小足球价格15元，每个篮球价格多少元？,学校买 [NUM] 个篮球和 [NUM] 个小足球，共付出 [NUM] 元．每个小足球价格 [NUM] 元，每个篮球价格多少元？,每个篮球价格多少元？,10 8 300 15,( n2 - ( n3 * n1 ) ) / n0,18.0,
松柏公园一块长方形绿地面积是216平方米，现在要把绿地的长从原来的18米增加到34米，宽保持不变．扩大后的绿地面积是多少平方米？,松柏公园一块长方形绿地面积是 [NUM] 平方米，现在要把绿地的长从原来的 [NUM] 米增加到 [NUM] 米，宽保持不变．扩大后的绿地面积是多少平方米？,扩大后的绿地面积是多少平方米？,216 18 34,( n0 / n1 ) * n2,408.0,
张老师用480元钱买了20盒同样的钢笔，一盒有6支钢笔，每支钢笔多少元？,张老师用 [NUM] 元钱买了 [NUM] 盒同样的钢笔，一盒有 [NUM] 支钢笔，每支钢笔多少元？,每支钢笔多少元？,480 20 6,( n0 / n1 ) / n2,4.0,
小欣一家三口去摘桃子，小欣摘了21个，妈妈摘的桃子个数比小欣的2倍多5个，爸爸摘的桃子个数比小欣的3倍少7个。爸爸摘了多少个？,小欣一家三口去摘桃子，小欣摘了 [NUM] 个，妈妈摘的桃子个数比小欣的 [NUM] 倍多 [NUM] 个，爸爸摘的桃子个数比小欣的 [NUM] 倍少 [NUM] 个。爸爸摘了多少个？,爸爸摘了多少个？,21 2 5 3 7,( n0 * n3 ) - n4,56.0,
工人师傅3小时加工零件114个，照这样计算，7.5小时加工零件多少个？,工人师傅 [NUM] 小时加工零件 [NUM] 个，照这样计算， [NUM] 小时加工零件多少个？, [NUM] 小时加工零件多少个？,3 114 7.5,( n1 / n0 ) * n2,285.0,
王爷爷在一块平行四边形地上种芦荟，底为57米，底比高长36米，按每平方米种6株每株收入4.5元算．这块地王爷爷能收入多少钱？,王爷爷在一块平行四边形地上种芦荟，底为 [NUM] 米，底比高长 [NUM] 米，按每平方米种 [NUM] 株每株收入 [NUM] 元算．这块地王爷爷能收入多少钱？,这块地王爷爷能收入多少钱？,57 36 6 4.5,( n0 * ( n0 - n1 ) ) * ( n3 * n2 ),32319.0,
芳芳每分钟打字105个，星期天，芳芳上午9时开始打一篇文章，到上午9时35分，她能打多少字？,芳芳每分钟打字 [NUM] 个，星期天，芳芳上午 [NUM] 时开始打一篇文章，到上午 [NUM] 时 [NUM] 分，她能打多少字？,她能打多少字？,105 9 9 35,n0 * n3,3675.0,
一条裤子的价格是58元，一件上衣的价格是一条裤子的4倍，买5套这样的衣服共用多少元钱？,一条裤子的价格是 [NUM] 元，一件上衣的价格是一条裤子的 [NUM] 倍，买 [NUM] 套这样的衣服共用多少元钱？,买 [NUM] 套这样的衣服共用多少元钱？,58 4 5,n2 * ( n0 + ( n0 * n1 ) ),1450.0,
丁丁看一本书，已经看了180页，还有150页没看．这本书一共有多少页？,丁丁看一本书，已经看了 [NUM] 页，还有 [NUM] 页没看．这本书一共有多少页？,这本书一共有多少页？,180 150,n0 + n1,330.0,
一个长方形的面积是56.7平方厘米，已知长是10厘米，宽是多少厘米？,一个长方形的面积是 [NUM] 平方厘米，已知长是 [NUM] 厘米，宽是多少厘米？,宽是多少厘米？,56.7 10,n0 / n1,5.67,
