Text,Problem,Question,Numbers,Equation,Answer
gino has 63 popsicle sticks . i have 50 popsicle sticks . what is the sum of our popsicle sticks ?,gino has [NUM] popsicle sticks . i have [NUM] popsicle sticks . what is the sum of our popsicle sticks ?,what is the sum of our popsicle sticks ?,63 50,n0 + n1,113
lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon . how many shells did he pick up in all ?,lino picked up [NUM] shells at the seashore in the morning and [NUM] shells in the afternoon . how many shells did he pick up in all ?,how many shells did he pick up in all ?,292 324,n0 + n1,616
there were 105 parents in the program and 698 pupils too . how many people were present in the program ?,there were [NUM] parents in the program and [NUM] pupils too . how many people were present in the program ?,how many people were present in the program ?,105 698,n0 + n1,803
last saturday marie sold 425 magazines and 275 newspapers . what is the total number of reading materials she sold ?,last saturday marie sold [NUM] magazines and [NUM] newspapers . what is the total number of reading materials she sold ?,what is the total number of reading materials she sold ?,425 275,n0 + n1,700
there are 12 birds on the fence . 8 more birds land on the fence . how many birds are on the fence ?,there are [NUM] birds on the fence . [NUM] more birds land on the fence . how many birds are on the fence ?,how many birds are on the fence ?,12 8,n0 + n1,20
22 boys went down the slide . 13 more boys went down the slide . how many boys went down the slide ?,[NUM] boys went down the slide . [NUM] more boys went down the slide . how many boys went down the slide ?,how many boys went down the slide ?,22 13,n0 + n1,35
13 ducks are swimming in a lake . 20 more ducks come to join them . how many ducks are swimming in the lake ?,[NUM] ducks are swimming in a lake . [NUM] more ducks come to join them . how many ducks are swimming in the lake ?,how many ducks are swimming in the lake ?,13 20,n0 + n1,33
30 dogs are barking . 10 more dogs start to bark . how many dogs are barking ?,[NUM] dogs are barking . [NUM] more dogs start to bark . how many dogs are barking ?,how many dogs are barking ?,30 10,n0 + n1,40
bobby ate 26 pieces of candy . then he ate 17 more . how many pieces of candy did bobby eat ?,bobby ate [NUM] pieces of candy . then he ate [NUM] more . how many pieces of candy did bobby eat ?,how many pieces of candy did bobby eat ?,26 17,n0 + n1,43
sandy had 26 pet fish . she bought 6 more fish . how many pet fish does sandy have now ?,sandy had [NUM] pet fish . she bought [NUM] more fish . how many pet fish does sandy have now ?,how many pet fish does sandy have now ?,26 6,n0 + n1,32
the clown blew up 47 balloons . then he blew up 13 more balloons . how many balloons does the clown have now ?,the clown blew up [NUM] balloons . then he blew up [NUM] more balloons . how many balloons does the clown have now ?,how many balloons does the clown have now ?,47 13,n0 + n1,60
our class got 54 books from the library . then we got 23 more books from the library . how many books did our class get from the library ?,our class got [NUM] books from the library . then we got [NUM] more books from the library . how many books did our class get from the library ?,how many books did our class get from the library ?,54 23,n0 + n1,77
julia played tag with 12 kids on monday . she played tag with 7 kids on tuesday . how many kids did she play with altogether ?,julia played tag with [NUM] kids on monday . she played tag with [NUM] kids on tuesday . how many kids did she play with altogether ?,how many kids did she play with altogether ?,12 7,n0 + n1,19
molly had 14 candles on her birthday cake . she grew older and got 6 more on her birthday cake . how old is molly now ?,molly had [NUM] candles on her birthday cake . she grew older and got [NUM] more on her birthday cake . how old is molly now ?,how old is molly now ?,14 6,n0 + n1,20
james ate 22 carrot sticks before dinner and 15 more after dinner . how many carrot sticks did he eat ?,james ate [NUM] carrot sticks before dinner and [NUM] more after dinner . how many carrot sticks did he eat ?,how many carrot sticks did he eat ?,22 15,n0 + n1,37
jovana filled her bucket with 5 pounds of shells . if she adds 12 more pounds of shell to fill her bucket how many pounds does she have ?,jovana filled her bucket with [NUM] pounds of shells . if she adds [NUM] more pounds of shell to fill her bucket how many pounds does she have ?,how many pounds does she have ?,5 12,n0 + n1,17
isabella 's hair is 18 cubes long . if her hair grows 4 more inches how long will it be ?,isabella 's hair is [NUM] cubes long . if her hair grows [NUM] more inches how long will it be ?,how long will it be ?,18 4,n0 + n1,22
mrs. sheridan has 17 cats . mr. sheridan gave her 14 more cats . how many cats does mrs. sheridan have altogether ?,mrs. sheridan has [NUM] cats . mr. sheridan gave her [NUM] more cats . how many cats does mrs. sheridan have altogether ?,how many cats does mrs. sheridan have altogether ?,17 14,n0 + n1,31
mrs. sheridan has 22 fish . her sister gave her 47 more fish . how many fish does she have now ?,mrs. sheridan has [NUM] fish . her sister gave her [NUM] more fish . how many fish does she have now ?,how many fish does she have now ?,22 47,n0 + n1,69
daniel had some noodles . he gave 12 noodles to william . now daniel only has 54 noodles . how many noodles did daniel have to begin with ?,daniel had some noodles . he gave [NUM] noodles to william . now daniel only has [NUM] noodles . how many noodles did daniel have to begin with ?,how many noodles did daniel have to begin with ?,12 54,n1 + n0,66
mrs. snyder made 86 heart cookies . she made 36 red cookies and the rest are pink . how many pink cookies did she make ?,mrs. snyder made [NUM] heart cookies . she made [NUM] red cookies and the rest are pink . how many pink cookies did she make ?,how many pink cookies did she make ?,86 36,n0 - n1,50
