Text,Problem,Question,Numbers,Equation,Answer
julia played tag with 18 kids on monday . she played tag with 10 kids on tuesday . how many more kids did she play with on tuesday than on monday ?,julia played tag with [NUM] kids on monday . she played tag with [NUM] kids on tuesday . how many more kids did she play with on tuesday than on monday ?,how many more kids did she play with on tuesday than on monday ?,18 10,n0 - n1,8
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many kids did she play with altogether ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many kids did she play with altogether ?,how many kids did she play with altogether ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many kids did she play with on monday and tuesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many kids did she play with on monday and tuesday ?,how many kids did she play with on monday and tuesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many kids did she play with on monday and wednesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many kids did she play with on monday and wednesday ?,how many kids did she play with on monday and wednesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many kids did she play with on tuesday and wednesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many kids did she play with on tuesday and wednesday ?,how many kids did she play with on tuesday and wednesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many more kids did she play with on monday than on tuesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many more kids did she play with on monday than on tuesday ?,how many more kids did she play with on monday than on tuesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many more kids did she play with on monday than on wednesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many more kids did she play with on monday than on wednesday ?,how many more kids did she play with on monday than on wednesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 15 kids on monday 18 kids on tuesday and 7 kids on wednesday . how many more kids did she play with on tuesday than on wednesday ?,julia played tag with [NUM] kids on monday [NUM] kids on tuesday and [NUM] kids on wednesday . how many more kids did she play with on tuesday than on wednesday ?,how many more kids did she play with on tuesday than on wednesday ?,15 18 7,( n0 + n1 ) - n2,26
julia played tag with 13 kids on monday and 10 kids on tuesday . she played cards with 15 kids on wednesday . how many kids did she play tag with altogether ?,julia played tag with [NUM] kids on monday and [NUM] kids on tuesday . she played cards with [NUM] kids on wednesday . how many kids did she play tag with altogether ?,how many kids did she play tag with altogether ?,13 10 15,( n0 + n1 ) + n2,38
julia played tag with 12 kids on monday . she played tag with 14 kids on tuesday . she spent a total of 34 hours to play tag on both days . how many more kids did she play with on monday than on tuesday ?,julia played tag with [NUM] kids on monday . she played tag with [NUM] kids on tuesday . she spent a total of [NUM] hours to play tag on both days . how many more kids did she play with on monday than on tuesday ?,how many more kids did she play with on monday than on tuesday ?,12 14 34,n0 + n1,26
bobby ate 28 pieces of candy . then he ate 42 more . he also ate 63 pieces of chocolate . how many pieces of candy and chocolate did bobby eat altogether ?,bobby ate [NUM] pieces of candy . then he ate [NUM] more . he also ate [NUM] pieces of chocolate . how many pieces of candy and chocolate did bobby eat altogether ?,how many pieces of candy and chocolate did bobby eat altogether ?,28 42 63,n0 + n1,70
bobby ate 28 pieces of candy . then he ate 42 more . he also ate 63 pieces of chocolate . how many more pieces of candy than chocolate did bobby eat ?,bobby ate [NUM] pieces of candy . then he ate [NUM] more . he also ate [NUM] pieces of chocolate . how many more pieces of candy than chocolate did bobby eat ?,how many more pieces of candy than chocolate did bobby eat ?,28 42 63,n0 + n1,70
bobby had 20 pieces of candy . he ate 34 pieces of candy . then he ate 18 more . how many pieces of candy does he still have left ?,bobby had [NUM] pieces of candy . he ate [NUM] pieces of candy . then he ate [NUM] more . how many pieces of candy does he still have left ?,how many pieces of candy does he still have left ?,20 34 18,n1 + n2,52
allan brought 5 balloons and jake brought 3 balloons to the park . how many more balloons did jake have than allan in the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . how many more balloons did jake have than allan in the park ?,how many more balloons did jake have than allan in the park ?,5 3,n0 - n1,2
allan brought 3 balloons and jake brought 5 balloons to the park . allan then bought 2 more balloons at the park . how many more balloons did allan have than jake in the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . allan then bought [NUM] more balloons at the park . how many more balloons did allan have than jake in the park ?,how many more balloons did allan have than jake in the park ?,3 5 2,( n0 + n1 ) + n2,10
allan brought 3 balloons and jake brought 5 balloons to the park . allan then bought 2 more balloons at the park . how many more balloons did jake have than allan in the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . allan then bought [NUM] more balloons at the park . how many more balloons did jake have than allan in the park ?,how many more balloons did jake have than allan in the park ?,3 5 2,( n0 + n1 ) + n2,10
allan brought 3 balloons and jake brought 5 balloons to the park . allan then bought 2 more balloons at the park . how many balloons did allan bring to the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . allan then bought [NUM] more balloons at the park . how many balloons did allan bring to the park ?,how many balloons did allan bring to the park ?,3 5 2,( n0 + n1 ) + n2,10
allan brought 6 balloons and jake brought 3 balloons to the park . jake then bought 4 more balloons at the park . how many more balloons did allan have than jake in the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . jake then bought [NUM] more balloons at the park . how many more balloons did allan have than jake in the park ?,how many more balloons did allan have than jake in the park ?,6 3 4,( n1 + n2 ) - n0,1
allan brought 6 balloons and jake brought 3 balloons to the park . jake then bought 4 more balloons at the park . how many balloons did jake bring to the park ?,allan brought [NUM] balloons and jake brought [NUM] balloons to the park . jake then bought [NUM] more balloons at the park . how many balloons did jake bring to the park ?,how many balloons did jake bring to the park ?,6 3 4,( n1 + n2 ) - n0,1
allan brought 7 balloons and 5 balls while jake brought 6 balloons and 4 balls to the park . how many balloons did allan and jake have in the park ?,allan brought [NUM] balloons and [NUM] balls while jake brought [NUM] balloons and [NUM] balls to the park . how many balloons did allan and jake have in the park ?,how many balloons did allan and jake have in the park ?,7 5 6 4,n1 + n3,9
every day ryan spends 6 hours on learning english and 2 hours on learning chinese . how many more hours does he spend on learning chinese than he does on learning english ?,every day ryan spends [NUM] hours on learning english and [NUM] hours on learning chinese . how many more hours does he spend on learning chinese than he does on learning english ?,how many more hours does he spend on learning chinese than he does on learning english ?,6 2,n0 - n1,4
every day ryan spends 6 hours on learning english and 7 hours on learning chinese . if he learns for 5 days how many hours does he spend on learning english in all ?,every day ryan spends [NUM] hours on learning english and [NUM] hours on learning chinese . if he learns for [NUM] days how many hours does he spend on learning english in all ?,how many hours does he spend on learning english in all ?,6 7 5,( n0 + n1 ) * n2,65
every day ryan spends 6 hours on learning english and 7 hours on learning chinese . if he learns for 5 days how many hours does he spend on learning chinese in all ?,every day ryan spends [NUM] hours on learning english and [NUM] hours on learning chinese . if he learns for [NUM] days how many hours does he spend on learning chinese in all ?,how many hours does he spend on learning chinese in all ?,6 7 5,( n0 + n1 ) * n2,65
every day ryan spends 6 hours on learning english and 7 hours on learning chinese . if he learns for 5 days how many hours does he spend on learning english and chinese each day ?,every day ryan spends [NUM] hours on learning english and [NUM] hours on learning chinese . if he learns for [NUM] days how many hours does he spend on learning english and chinese each day ?,how many hours does he spend on learning english and chinese each day ?,6 7 5,( n0 + n1 ) * n2,65
every day ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish . how many more hours does he spend on learning english than he does on learning chinese ?,every day ryan spends [NUM] hours on learning english [NUM] hours on learning chinese and [NUM] hours on learning spanish . how many more hours does he spend on learning english than he does on learning chinese ?,how many more hours does he spend on learning english than he does on learning chinese ?,6 7 3,( n0 + n1 ) + n2,16
every day ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish . how many more hours does he spend on learning english than he does on learning spanish ?,every day ryan spends [NUM] hours on learning english [NUM] hours on learning chinese and [NUM] hours on learning spanish . how many more hours does he spend on learning english than he does on learning spanish ?,how many more hours does he spend on learning english than he does on learning spanish ?,6 7 3,( n0 + n1 ) + n2,16
every day ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish . how many more hours does he spend on learning chinese than he does on learning spanish ?,every day ryan spends [NUM] hours on learning english [NUM] hours on learning chinese and [NUM] hours on learning spanish . how many more hours does he spend on learning chinese than he does on learning spanish ?,how many more hours does he spend on learning chinese than he does on learning spanish ?,6 7 3,( n0 + n1 ) + n2,16
tiffany was collecting cans for recycling . on monday she had 8 bags of cans . the next day she found 7 more bags worth of cans . how many more bags did she find on the next day than she had on monday ?,tiffany was collecting cans for recycling . on monday she had [NUM] bags of cans . the next day she found [NUM] more bags worth of cans . how many more bags did she find on the next day than she had on monday ?,how many more bags did she find on the next day than she had on monday ?,8 7,n0 - n1,1
tiffany was collecting cans for recycling . on monday she had 8 bags of cans . she found 10 bags of cans on the next day and 4 bags of cans the day after that . how many bags did she have altogether ?,tiffany was collecting cans for recycling . on monday she had [NUM] bags of cans . she found [NUM] bags of cans on the next day and [NUM] bags of cans the day after that . how many bags did she have altogether ?,how many bags did she have altogether ?,8 10 4,n1 + n2,14
17 red peaches and 16 green peaches are in the basket . how many more green peaches than red peaches are in the basket ?,[NUM] red peaches and [NUM] green peaches are in the basket . how many more green peaches than red peaches are in the basket ?,how many more green peaches than red peaches are in the basket ?,17 16,n0 - n1,1
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many peaches are in the basket ?,how many peaches are in the basket ?,19 11 12,n0 - n1,8
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many more green peaches than red peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many more green peaches than red peaches are in the basket ?,how many more green peaches than red peaches are in the basket ?,19 11 12,n0 - n1,8
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many more green peaches than yellow peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many more green peaches than yellow peaches are in the basket ?,how many more green peaches than yellow peaches are in the basket ?,19 11 12,n0 - n1,8
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many red and green peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many red and green peaches are in the basket ?,how many red and green peaches are in the basket ?,19 11 12,n0 - n1,8
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many red and yellow peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many red and yellow peaches are in the basket ?,how many red and yellow peaches are in the basket ?,19 11 12,n0 - n1,8
19 red peaches 11 yellow peaches and 12 green peaches are in the basket . how many green and yellow peaches are in the basket ?,[NUM] red peaches [NUM] yellow peaches and [NUM] green peaches are in the basket . how many green and yellow peaches are in the basket ?,how many green and yellow peaches are in the basket ?,19 11 12,n0 - n1,8
there are 11 baskets of peaches . each basket has 10 red peaches and 18 green peaches . how many peaches are in each basket ?,there are [NUM] baskets of peaches . each basket has [NUM] red peaches and [NUM] green peaches . how many peaches are in each basket ?,how many peaches are in each basket ?,11 10 18,( n1 + n2 ) * n0,308
there are 11 baskets of peaches . each basket has 10 red peaches and 18 green peaches . how many red peaches are in the baskets altogether ?,there are [NUM] baskets of peaches . each basket has [NUM] red peaches and [NUM] green peaches . how many red peaches are in the baskets altogether ?,how many red peaches are in the baskets altogether ?,11 10 18,( n1 + n2 ) * n0,308
there are 11 baskets of peaches . each basket has 10 red peaches and 18 green peaches . how many green peaches are in the baskets altogether ?,there are [NUM] baskets of peaches . each basket has [NUM] red peaches and [NUM] green peaches . how many green peaches are in the baskets altogether ?,how many green peaches are in the baskets altogether ?,11 10 18,( n1 + n2 ) * n0,308
jerry had 4 action figures and 22 books on a shelf in his room . later he added 6 more action figures to the shelf . how many more action figures than books were on his shelf ?,jerry had [NUM] action figures and [NUM] books on a shelf in his room . later he added [NUM] more action figures to the shelf . how many more action figures than books were on his shelf ?,how many more action figures than books were on his shelf ?,4 22 6,n0 + n2,10
jerry had 4 action figures and 22 books on a shelf in his room . later he added 6 more action figures to the shelf . how many more books than action figures were on his shelf ?,jerry had [NUM] action figures and [NUM] books on a shelf in his room . later he added [NUM] more action figures to the shelf . how many more books than action figures were on his shelf ?,how many more books than action figures were on his shelf ?,4 22 6,n0 + n2,10
